bdchm_entity,bdchm_varlabel,bdchm_varname,bdchm_vartype,bdchm_unit,obacurie,omop
Procedure,History of coronary artery bypass graft,hist_cor_bypg,Uriorcurie,,,OMOP:4336464
Condition,History of heart disease,hist_hrtdis,Uriorcurie,,,OMOP:321588
Condition,History of heart failure,hist_hrtfail,Uriorcurie,,,OMOP:316139
Condition,History of myocardial infarction,hist_my_inf,Uriorcurie,,,OMOP:1340204
Condition,Hypertension,hyperten,Uriorcurie,,,OMOP:320128
DrugExposure,Hypertension treatment,hypert_trt,Uriorcurie,,,OMOP:4015732
MeasurementObservation,ICAM1 in blood,icam,decimal,ng/mL,,OMOP:4284103
MeasurementObservation,Insulin in blood,insulin_blood,decimal,pmol/L,OBA:2060174,OMOP:4060873
MeasurementObservation,Interleukin 10 in blood,il10,decimal,pg/mL,,OMOP:3004578
MeasurementObservation,Interleukin 18 in blood,il18,decimal,pg/mL,,OMOP:3043144
MeasurementObservation,Interleukin 1 beta in blood,il1_beta,decimal,pg/mL,,OMOP:3001804
MeasurementObservation,interleukin 6 in blood,il6,decimal,pg/mL,OBA:2052890,OMOP:4332015
MeasurementObservation,Lactate Dehydrogenase LDH,lactate_dehyd,decimal,[IU]/L,OBA:VT0010477,OMOP:4012918
MeasurementObservation,Lactate in blood,lactate_blood,decimal,mmol/L,OBA:VT0010616,OMOP:1246795
MeasurementObservation,LDL,ldl,decimal,mg/dL,OBA:VT0000181,OMOP:4331302
Condition,LVH from EKG,lvh_ekg,Uriorcurie,,,OMOP:4065282
MeasurementObservation,Lymphocytes count,lympho_ct,decimal,10*3/uL,OBA:VT0000217,OMOP:37208689
MeasurementObservation,Lymphocytes percent,lympho_pct,decimal,%{WBCs},,OMOP:37208690
MeasurementObservation,Mass LP-PLA2 in blood,lppla2_mass,decimal,ng/mL,,OMOP:3041450
MeasurementObservation,MCP1 in blood,mcp1,decimal,pg/mL,OBA:2052436,OMOP:1617307
MeasurementObservation,Mean arterial pressure,mn_art_pres,decimal,mm[Hg],OBA:VT2000000,OMOP:37168599
MeasurementObservation,mean corpuscular hemoglobin,mch,decimal,pg/{cell},OBA:2045301,OMOP:37398674
MeasurementObservation,mean corpuscular hemoglobin concentration,mchc,decimal,g/dL,,OMOP:37393850
MeasurementObservation,mean corpuscular volume,mcv,decimal,fL,OBA:0003460,OMOP:37393851
MeasurementObservation,mean platelet volume,pmv,decimal,fL,OBA:0003277,OMOP:37397923
MeasurementObservation,MMP9 in blood,mmp9,decimal,ng/mL,OBA:2052397,OMOP:40761106
MeasurementObservation,monocytes count,monocyte_ncnc_bld,decimal,10*3/uL,OBA:VT0000223,OMOP:3001604
MeasurementObservation,Myeloperoxidase in blood,mpo,decimal,ng/mL,OBA:2052389,OMOP:1988928
MeasurementObservation,Neutrophils count,neutro_ct,decimal,10*3/uL,OBA:VT0000222,OMOP:37208699
MeasurementObservation,Neutrophils percent,neutro_pct,decimal,%{WBCs},,OMOP:37208698
MeasurementObservation,NT pro BNP,nt_bnp,decimal,pg/mL,OBA:2045303,OMOP:4189511
Condition,Obesity,obesity,ConditionStatusEnum,,,OMOP:433736
MeasurementObservation,Osteoprotegerin in blood,opg,decimal,ng/mL,,OMOP:1552124
MeasurementObservation,P-selectin in blood,pselectin,decimal,ng/mL,OBA:2052701,OMOP:3007356
Procedure,Pacemaker implant status,pacem_stat,BaseEnum,,,OMOP:45772840
Condition,peripheral arterial disease,pad,Uriorcurie,,,OMOP:3654996
MeasurementObservation,Platelet count,platelet_ct,decimal,10*3/uL,,OMOP:4267147
MeasurementObservation,Potassium in blood,potassium,decimal,mmol/L,OBA:VT0002668,OMOP:4245152
MeasurementObservation,PR interval,pr_ekg,decimal,ms,,OMOP:4274406
MeasurementObservation,QRS interval,qrs_ekg,decimal,ms,OBA:1001086,OMOP:4273021
MeasurementObservation,QT interval,qt_ekg,decimal,ms,,OMOP:4273023
Demography,Race,race,RaceEnum,,,OMOP:4013886
MeasurementObservation,Red blood cell count,rdbld_ct,decimal,10*6/uL,OBA:VT0001586,OMOP:4030871
MeasurementObservation,Red cell distribution width,rdw,decimal,%,,OMOP:37397924
Demography,Sex,sex,SexEnum,,,OMOP:3046965
Condition,Sleep apnea,slp_ap,Uriorcurie,,,OMOP:313459
MeasurementObservation,Sleep hours,sleep_duration_daily,decimal,h,OBA:2040171,OMOP:40768653
MeasurementObservation,Sodium in blood,sodium_blood,decimal,mmol/L,OBA:VT0001776,OMOP:4097430
MeasurementObservation,Sodium intake,sodium_intak,decimal,mg/d,,OMOP:606729
MeasurementObservation,SpO2,spo2,decimal,%,OBA:2045443,OMOP:4020553
Condition,Stroke,stroke,Uriorcurie,,,OMOP:4212690
MeasurementObservation,Systolic blood pressure,bp_systolic,integer,mm[Hg],,OMOP:4152194
DrugExposure,Taking ACE inhibitors,tak_aceinhib,Uriorcurie,,,OMOP:21601784
DrugExposure,Taking aldosterone receptor blockers,tak_aldorecepblk,Uriorcurie,,,OMOP:4156739
DrugExposure,Taking alpha blockers,tak_alphablk,Uriorcurie,,,OMOP:4333403
DrugExposure,Taking angiotensin receptor blockers,tak_angiorecepblk,Uriorcurie,,,OMOP:19402372
DrugExposure,Taking beta blockers,tak_betablk,Uriorcurie,,,OMOP:21601741
DrugExposure,Taking calcium channel blockers,tak_calchanblk,Uriorcurie,,,OMOP:4159947
DrugExposure,Taking centrally acting agents,tak_cenactag,Uriorcurie,,,OMOP:21602722
DrugExposure,Taking diuretics,tak_diuret,Uriorcurie,,,OMOP:21601461
DrugExposure,Taking insulin,tak_insulin,Uriorcurie,,,OMOP:45882625
DrugExposure,Taking medication for diabetes,tak_med_diab,Uriorcurie,,,OMOP:21600765
DrugExposure,Taking non statin medication,tak_nstat_med,Uriorcurie,,,OMOP:
DrugExposure,Taking oral hypoglycemic agents,tak_orlhypoag,Uriorcurie,,,OMOP:4162568
DrugExposure,Taking statin medication,tak_statin,Uriorcurie,,,OMOP:604501
DrugExposure,Taking systemic steroids,tak_steroid,Uriorcurie,,,OMOP:21602722
DrugExposure,Taking vasodilators,tak_vasodil,Uriorcurie,,,OMOP:21601560
MeasurementObservation,Temperature,bdy_temp,decimal,Cel,OBA:VT0005535,OMOP:4302666
MeasurementObservation,TNFa-R1 in blood,tnfa_r1,decimal,pg/mL,OBA:2051975,OMOP:46235360
MeasurementObservation,TNFa in blood,tnfa,decimal,pg/mL,OBA:2051979,OMOP:3004282
MeasurementObservation,Total cholesterol in blood,tot_chol_bld,decimal,mg/dL,OBA:VT0000180,OMOP:4008265
MeasurementObservation,Triglycerides in blood,triglyc_bld,decimal,mg/dL,OBA:VT0002644,OMOP:4032789
MeasurementObservation,Troponin all types,troponin,decimal,ng/mL,,OMOP:4021291
Condition,Valvular heart disease,valv_hrtdis,Uriorcurie,,,OMOP:4281749
MeasurementObservation,Vegetable servings,vege_serving,integer,{#}/wk,,OMOP:4042886
Condition,Venous thromboembolism,ven_thromb,Uriorcurie,,,OMOP:4327889
MeasurementObservation,von Willebrand factor,willeb_fac,decimal,%{normal},OBA:2052741,OMOP:4252203
MeasurementObservation,Waist-hip ratio,waist_hip,decimal,{ratio},,OMOP:4087501
MeasurementObservation,Waist circumference,waist_circ,decimal,cm,OBA:1001085,OMOP:4172830
MeasurementObservation,White blood cell count,whtbld_ct,decimal,10*3/uL,OBA:VT0000217,OMOP:4298431
