from,to,cause,why,variable,cohort,before,after
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Albumin creatinine ratio in urine,HCHS/SOL,-,1/11980
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Albumin creatinine ratio in urine,JHS,-,4/6386
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Albumin creatinine ratio in urine,MESA,1/10244,6/22540
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Albumin in blood,ARIC,1/14477,3/17989
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Albumin in blood,CARDIA,-,3/9793
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Albumin in blood,CHS,-,5/17846
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Albumin in blood,FHS,-,6/181148
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Albumin in urine,ARIC,3/24024,4/13497
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Albumin in urine,CARDIA,3/12495,2/5930
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Albumin in urine,FHS,-,11/256876
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Albumin in urine,HCHS/SOL,1/11980,1/11979
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Albumin in urine,JHS,4/6386,12/16335
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Albumin in urine,MESA,6/22540,7/24118
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Alcohol,ARIC,3/17989,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Alcohol,CARDIA,3/9793,67/278328
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Alcohol,CHS,5/17846,16/41781
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Alcohol,JHS,-,10/57210
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Alcohol,WHI,-,8/2389035
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Angina,ARIC,-,10/568178
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Angina,CARDIA,67/278328,28/4630
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Angina,CHS,16/41781,26/289104
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Angina,COPDGene,-,1/544
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Angina,FHS,-,1/2752
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Angina,JHS,10/57210,4/116973
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Angina,MESA,-,3/18115
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Angina,WHI,8/2389035,22/2179257
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Aspirin,ARIC,10/568178,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Aspirin,CARDIA,28/4630,5/32949
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Aspirin,CHS,26/289104,27/198528
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Aspirin,HCHS/SOL,-,1/24560
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Aspirin,JHS,4/116973,7/198048
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Aspirin,MESA,3/18115,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Aspirin,WHI,22/2179257,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Asthma,COPDGene,-,4/1241
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Asthma,FHS,-,83/634206
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Atrial fibrillation,FHS,-,23/200643
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,BMI,ARIC,1/14928,2/6715
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,BMI,COPDGene,-,1/272
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,BMI,FHS,-,2/35827
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,BMI,HCHS/SOL,-,1/12486
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,BMI,MESA,-,3/4270
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,BMI,WHI,-,3/664794
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,BNP,ARIC,-,9/27152
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,BNP,CARDIA,1/3583,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,BNP,FHS,-,4/69388
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,BNP,JHS,-,2/5158
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,BNP,WHI,-,3/7028
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,BUN,CARDIA,23/60884,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,BUN,CHS,1/554,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,BUN,FHS,-,4/114884
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,BUN,JHS,2/4288,1/2773
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,BUN,MESA,68/153345,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,BUN,WHI,-,1/5928
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,BUN Creatinine ratio,ARIC,-,1/14928
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,BUN Creatinine ratio,MESA,59/114141,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Bilirubin Conjugated Direct,ARIC,9/27152,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Bilirubin Conjugated Direct,FHS,-,1/39578
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Bilirubin Conjugated Direct,JHS,2/5158,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Bilirubin Conjugated Direct,WHI,3/7028,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Bilirubin total,CARDIA,-,1/3583
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Bilirubin total,FHS,-,6/183557
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Bilirubin total,JHS,1/2773,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Bilirubin total,WHI,1/5928,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Body weight,COPDGene,-,1/272
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Body weight,FHS,-,48/1277287
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,CAC Score,ARIC,6/30504,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,CAC Score,CARDIA,-,23/60884
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,CAC Score,CHS,-,1/554
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,CAC Score,FHS,-,8/148390
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,CAC Score,HCHS/SOL,1/12344,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,CAC Score,JHS,-,2/4288
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,CAC Score,MESA,7/23756,68/153345
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,CAC volume,ARIC,5/40321,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,CAC volume,CHS,2/14252,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,CAC volume,FHS,-,2/35189
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,CAC volume,HCHS/SOL,2/26600,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,CAC volume,JHS,1/12400,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,CAC volume,MESA,19/93284,59/114141
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,CAC volume,WHI,5/218090,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,CD40 in blood,ARIC,1/5833,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,CD40 in blood,FHS,-,1/20471
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,CD40 in blood,JHS,1/3839,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,CD40 in blood,MESA,1/6129,1/964
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,CESD score,ARIC,35/783928,6/30504
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,CESD score,CARDIA,21/122295,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,CESD score,CHS,15/177339,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,CESD score,FHS,-,2/1584
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,CESD score,HCHS/SOL,2/31744,1/12344
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,CESD score,JHS,9/58835,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,CESD score,MESA,20/225308,7/23756
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,CESD score,WHI,1/424089,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Cardiovascular disease,FHS,-,3/60396
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Carotid IMT,FHS,-,4/143726
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Cause of death,FHS,-,8/65700
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Chloride in blood,ARIC,26/166348,1/5833
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Chloride in blood,CARDIA,2/6451,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Chloride in blood,FHS,-,2/50336
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Chloride in blood,HCHS/SOL,1/12511,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Chloride in blood,JHS,5/17063,1/3839
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Chloride in blood,MESA,2/4534,1/6129
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Chloride in blood,WHI,1/5987,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Cigarette smoking,ARIC,5/8791,35/783928
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Cigarette smoking,CARDIA,10/11770,21/122295
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Cigarette smoking,CHS,-,15/177339
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Cigarette smoking,COPDGene,-,2/1088
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Cigarette smoking,FHS,-,69/529812
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Cigarette smoking,HCHS/SOL,1/12474,2/31744
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Cigarette smoking,JHS,7/13439,9/58835
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Cigarette smoking,MESA,6/23867,20/225308
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Cigarette smoking,WHI,-,1/424089
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Creatinine in blood,ARIC,1/11913,26/166348
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Creatinine in blood,CARDIA,-,2/6451
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Creatinine in blood,CHS,2/2821,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Creatinine in blood,FHS,-,40/716188
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Creatinine in blood,HCHS/SOL,-,1/12511
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Creatinine in blood,JHS,-,5/17063
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Creatinine in blood,MESA,5/8652,2/4534
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Creatinine in blood,WHI,-,1/5987
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Creatinine in urine,ARIC,60/1346351,5/8791
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Creatinine in urine,CARDIA,8/293,10/11770
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Creatinine in urine,CHS,1/11062,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Creatinine in urine,FHS,-,9/198748
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Creatinine in urine,HCHS/SOL,-,1/12474
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Creatinine in urine,JHS,1/1840,7/13439
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Creatinine in urine,MESA,-,6/23867
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Creatinine in urine,WHI,5/1609192,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Cystatin C in blood,ARIC,41/838605,8/44017
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Cystatin C in blood,CARDIA,25/96155,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Cystatin C in blood,CHS,35/267277,3/27099
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Cystatin C in blood,FHS,-,2/55792
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Cystatin C in blood,HCHS/SOL,5/150186,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Cystatin C in blood,JHS,12/168838,1/3783
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Cystatin C in blood,MESA,16/384469,2/10716
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Cystatin C in blood,WHI,4/537428,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,D-Dimer,ARIC,53/473408,1/11913
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,D-Dimer,CARDIA,10/32760,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,D-Dimer,CHS,-,2/2821
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,D-Dimer,FHS,-,2/57321
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,D-Dimer,JHS,35/151755,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,D-Dimer,MESA,-,5/8652
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,D-Dimer,WHI,7/2473953,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Death,ARIC,-,60/1346351
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Death,CARDIA,-,8/293
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Death,CHS,-,1/11062
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Death,FHS,-,1/3339
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Death,JHS,1/2764,1/1840
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Death,MESA,3/1655,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Death,WHI,-,5/1609192
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Diabetes,ARIC,23/169507,41/838605
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Diabetes,CARDIA,-,25/96155
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Diabetes,CHS,-,35/267277
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Diabetes,COPDGene,-,1/544
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Diabetes,FHS,-,80/546341
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Diabetes,HCHS/SOL,2/23520,5/150186
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Diabetes,JHS,2/7678,12/168838
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Diabetes,MESA,13/40860,16/384469
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Diabetes,WHI,-,4/537428
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Diastolic blood pressure,ARIC,2/130077,53/473408
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Diastolic blood pressure,CARDIA,11/38479,10/32760
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Diastolic blood pressure,CHS,2/55150,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Diastolic blood pressure,COPDGene,-,1/272
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Diastolic blood pressure,HCHS/SOL,1/37500,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Diastolic blood pressure,JHS,1/11613,35/151755
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Diastolic blood pressure,MESA,4/69778,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Diastolic blood pressure,WHI,-,7/2473953
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,E-selectin in blood,ARIC,1/11696,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,E-selectin in blood,CARDIA,1/668,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,E-selectin in blood,CHS,2/11022,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,E-selectin in blood,FHS,-,1/9911
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,E-selectin in blood,JHS,-,1/2764
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,E-selectin in blood,MESA,24/288902,3/1655
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,EGFR,ARIC,-,23/169507
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,EGFR,HCHS/SOL,-,2/23520
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,EGFR,JHS,-,2/7678
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,EGFR,MESA,3/475,13/40860
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Education level,ARIC,5/13750,2/130077
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Education level,CARDIA,26/66865,11/38479
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Education level,CHS,3/11228,2/55150
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Education level,COPDGene,-,1/1632
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Education level,FHS,-,4/227907
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Education level,HCHS/SOL,1/12007,1/37500
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Education level,JHS,6/25716,1/11613
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Education level,MESA,3/4157,4/69778
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Ethnicity,ARIC,3/104673,1/11696
