variable,ARIC_phv,ARIC_n,CARDIA_phv,CARDIA_n,CHS_phv,CHS_n,COPDGene_phv,COPDGene_n,FHS_phv,FHS_n,HCHS/SOL_phv,HCHS/SOL_n,JHS_phv,JHS_n,MESA_phv,MESA_n,WHI_phv,WHI_n
Mass LP-PLA2 in blood,,,,,1,5392,,,,,,,,,2,10297,,
Mean arterial pressure,2,36,,,,,,,,,,,,,2,11954,,
Medication adherence,3,57134,10,20166,,,,,,,,,24,237944,,,,
NT pro BNP,13,53156,,,,,,,,,,,,,2,10090,3,1802
Neutrophils count,7,106719,6,20335,,,,,,,2,23441,3,6812,1,4676,,
Neutrophils percent,2,18625,1,2407,,,,,,,1,11719,,,,,,
Obesity,1,10274,,,10,72592,,,,,,,3,19268,,,,
P-selectin in blood,,,,,,,,,,,,,2,5482,,,,
PR interval,10,57130,,,,,,,,,,,24,78673,,,1,166813
Pacemaker implant status,23,154143,,,,,,,,,,,,,,,3,351039
Platelet count,11,64169,2,7203,4,14599,,,,,1,12413,1,3749,2,3644,1,207213
Potassium in blood,6,50430,,,4,14708,,,,,,,1,3839,3,8682,,
QRS interval,17,211571,,,12,43430,,,,,,,17,58938,,,1,166813
QT interval,6,58534,,,,,,,,,,,12,39678,,,2,333626
Race,25,1000107,12,101555,6,165236,,,,,,,1,29425,13,120698,16,4486020
Red blood cell count volume,5,26964,2,7205,,,,,,,1,12420,1,3377,2,3656,,
Sex,31,870395,14,87034,8,69818,,,,,1,25040,9,55102,12,58860,,
Sleep apnea status,,,,,194,202640,,,,,1,11114,,,,,,
Sleep hours,1,5450,3,6830,8,12652,,,,,1,11912,2,6955,1,5436,6,4200494
Sodium in blood,5,51297,,,,,,,,,,,1,3839,1,6129,1,5721
Sodium intake,3,27505,5,16962,2,7868,,,,,,,,,1,4252,1,338044
SpO2,,,,,3,8636,,,,,1,11146,,,,,,
Stroke status,127,4514934,50,50919,48,273221,,,,,,,19,220097,6,240854,27,2363823
Study cohort designation,1,45486,1,10878,,,,,,,,,1,29425,,,,
Systolic blood pressure,67,610251,10,32760,,,,,,,,,35,153546,,,7,2474002
TNFa in blood,,,,,,,,,,,,,,,5,7447,,
TNFa-R1 in blood,,,,,,,,,,,,,,,1,2813,,
Taking ACE inhibitors,10,168194,4,26022,41,308828,,,,,2,49120,,,19,134160,2,27014
Taking aldosterone receptor blockers,8,134234,4,26022,1,11052,,,,,1,24560,,,3,16508,,
Taking alpha blockers,2,57908,4,26022,29,187839,,,,,1,24560,,,19,104747,,
Taking angiotensin receptor blockers,12,202959,4,26022,27,140904,,,,,2,49120,,,18,121308,2,27026
Taking beta blocker,,,,,,,,,,,1,24560,3,17208,,,2,27026
Taking beta blockers,4,91906,4,26022,17,171140,,,,,1,24560,,,3,16508,,
Taking calcium channel blockers,6,101078,4,26022,86,621052,,,,,4,99164,3,17298,43,310242,,
Taking centrally acting agents,2,57908,4,26022,1,11052,,,,,1,24560,,,3,16508,,
Taking diuretic,9,127716,2,6546,67,487840,,,,,3,74142,3,17568,31,234808,3,40610
Taking diuretics,2,57908,4,26022,1,11052,,,,,1,24560,,,3,16508,,
Taking insulin,3,12355,1,162,16,111216,,,,,3,29132,4,18076,14,139521,5,538886
Taking medication for diabetes,2,20476,,,8,54446,,,,,,,1,151080,6,14884,,
Taking non statin medication,,,,,41,299276,,,,,3,74600,,,24,176478,,
Taking oral hypoglycemic agents,,,,,14,100558,,,,,,,,,15,142681,,
Taking statin medication,12,235604,,,1,11052,,,,,1,24560,6,37350,3,16508,,
Taking systemic steroids,,,,,,,,,,,,,,,,,1,7552
Taking vasodilators,3,35158,,,42,300292,,,,,,,,,24,175982,2,27006
Temperature,,,4,13138,,,,,,,,,,,1,3789,,
Total cholesterol in blood,16,146723,3,10519,1,5479,,,,,1,12511,11,44564,9,29732,1,15771
Triglycerides in blood,25,282890,7,52069,4,14806,,,,,1,12511,12,54448,8,29560,1,15771
Troponin all types,60,177584,4,719,,,,,,,,,,,,,,
Valvular heart disease,,,2,1788,,,,,,,,,,,,,1,13602
Vegetables,33,2692780,22,74514,,,,,,,,,1,3711,7,29869,2,680137
Venous thromboembolism,7,296070,26,1254,27,281164,,,,,,,6,494988,,,30,2395576
Waist circumference,5,54809,9,30185,6,20915,,,,,1,12491,5,15603,7,28178,2,387909
Waist-hip ratio,6,49590,,,,,,,,,1,12484,,,,,1,379475
White blood cell count,11,69808,2,7205,1,5447,,,,,1,11722,1,3377,2,3656,1,207828
basophils count,5,201783,3,28581,,,,,,,2,23425,2,6501,2,3126,,
c-reactive protein CRP,6,19832,4,12886,4,15296,,,,,1,12509,8,17665,5,9489,,
eosinophils count,5,60921,3,10492,,,,,,,3,35163,2,6686,2,3196,,
hematocrit,,,1,7164,,,,,,,,,,,1,8268,,
interleukin 6 in blood,,,4,5552,1,5063,,,,,,,,,4,9898,,
mean corpuscular hemoglobin,8,24302,3,10787,,,,,,,1,12420,1,3376,3,8268,,
mean corpuscular hemoglobin concentration,14,78224,2,7204,1,5447,,,,,1,12420,1,3377,2,5512,,
mean corpuscular volume,9,40483,2,7205,,,,,,,1,12420,1,3377,2,5512,,
mean platelet volume,5,5713,2,0,,,,,,,,,1,3376,,,,
monocytes count,8,78591,3,10760,,,,,,,2,23446,2,6735,2,3231,,
peripheral arterial disease,19,272006,27,1926,3,32928,,,,,,,7,80948,,,10,938207
red cell distribution width,5,24251,,,,,,,,,1,12419,1,0,,,,
von Willebrand factor,1,14811,5,6928,,,,,,,,,,,1,962,,
